x,split,mean,std,fit_seconds
0.05,val,0.4197360920521167,0.0031966694465246845,0.0007177856667415957
0.1,val,0.46060373378415576,0.018863691951487883,0.0009491089998239962
0.2,val,0.5103034891503113,0.00748635542612153,0.0013649106666283235
0.4,val,0.5739503309602848,0.0026347804318481937,0.0019638816665974446
0.7,val,0.6068499748173127,0.0055229352287137524,0.0025541700001667778
1.0,val,0.6409927504056356,0.007471026663649532,0.0017451976665749196
0.05,train,1.0,0.0,0.0007177856667415957
0.1,train,1.0,0.0,0.0009491089998239962
0.2,train,1.0,0.0,0.0013649106666283235
0.4,train,1.0,0.0,0.0019638816665974446
0.7,train,1.0,0.0,0.0025541700001667778
1.0,train,1.0,0.0,0.0017451976665749196
