x,split,mean,std,fit_seconds
0.05,val,0.28708364494719535,0.01304563917576439,0.19884663666683386
0.1,val,0.3038908349553267,0.009045943024558677,0.36414869000009276
0.2,val,0.353470782280602,0.04141681695572593,0.7114755930000077
0.4,val,0.4601130802318112,0.02200283326486191,1.9393395316666708
0.7,val,0.48536128124706535,0.01289467407848895,2.831786262333329
1.0,val,0.5157469490552616,0.040552380295147794,4.012069734666663
0.05,train,0.33514245538960324,0.05712102802104313,0.19884663666683386
0.1,train,0.3293079962136056,0.014404722331592443,0.36414869000009276
0.2,train,0.3837627150189242,0.059824505433495836,0.7114755930000077
0.4,train,0.5109716892780464,0.03582438564730064,1.9393395316666708
0.7,train,0.5184311934037387,0.018372188327391487,2.831786262333329
1.0,train,0.5583978747403865,0.05825955141967321,4.012069734666663
